",",COLLEGE NAME, WEBSITE,ADRESS
107,"Ch SD St Theresas College for Women, Eluru",http://www.chsd-theresacollege.net/,
108,"Chaitanya Degree & PG College for Women, Visakhapatnam",null,
109,"Chamba Millennium Pvt ITI, Saru",http://cmes.co.in/index.php/iti-home,
110,"Chandigarh College Of Architecture, Chandigarh",http://cca.edu.in/,
111,"Chimanbhai MU Patel Industrial Training Centre, Vallabh Vidyanagar",http://www.cmuitcvvn.edu.in/,
112,"Christ College Of Nursing, Jagdalpur",http://christnursing.com/,
113,"Christ The King Institute of Technology, Coimbatore",http://ckpcindia.org/,
114,"Christian Academy College, Shillong",https://www.christianacademyshg.in/,
115,"Christian Institute Of Health Sciences And Research, Dimapur",https://cihsr.in/,
116,"Christu Jayanthi Jubilee College, Guntur",http://www.cjjpgcollege.ac.in/,
117,"Cluny Womens College, Kalimpong",http://www.clunycollege.com/,
118,"CMR Institute of Management and Technology, Bangalore",https://ims.cmr.ac.in/,
119,"College Of Agricultural Engineering And Post Harvest Technology CAE&PHT, Gangtok",http://www.caephtcau.ac.in/,
120,"College of Agricultural Engineering, Anantapur",http://www.caemadakasira.ac.in/,
121,"College Of Fisheries CF, Agartala",http://cofcau.nic.in/,
122,"College Of Horticulture And Forestry CH&F, Pasighat",http://www.chfcau.org.in/,
123,"College of Science and Technology, Andhra University, Visakhapatnam",https://andhrauniversity.edu.in/,
124,"College Of Teacher Education, Tura",https://ctetura.edu.in/,
125,"College Of Technology And Engineering, Udaipur",https://www.ctae.ac.in/,
126,"College Of Veterinary Science And Animal Husbandry CVS&AH, Aizawl",https://www.cvsccauaizawl.edu.in/,
127,"Colonel Degree College for Women, Chural Kalan",http://www.colonelinstitutes.com/degree,
128,"CSTS Government Degree College, West Godavari",https://www.cstsgk.ac.in/,
129,"CZ Patel College Of Business & Management, Anand",http://www.czp.edu.in/,
130,"Dadi Satyanarayana College of Education, Anakapalle",http://www.dsnce.diet.edu.in/,
131,"Dadi Veerunaidu PG College (DVNPGC), Anakapalle",https://www.indcareer.com/andhra-pradesh/visakhapatnam/www.dadiakp.com,
132,"Damber Singh College, Gangtok",http://www.res.ac.in/dsc/,
133,"Darbhanga Medical College, Darbhanga",http://www.darbhangamedicalcollege.com/,
134,"Dasaratha Deb Memorial College, Khowai",http://www.ddmctripura.edu.in/,
135,"DAV Institute Of Engineering And Technology, Daltonganj",http://www.davietpalamau.org/,
136,"DAV Mahila College, Katrasgarh",https://davmm.in/,
137,"Daying Ering College Of Teachers Education, Pasighat",https://decte.co.in/,
138,"Deccan School of Pharmacy,Hyderabad",http://www.deccanpharmacy.com/,
139,"Dev Indrawati Mahavidyalaya, Ambedkar Nagar",http://devindrawati.org.in/index.htm,
140,"Dewan Abdul Gani College, Harirampur",http://dagcol.ac.in/,
141,Dhalai District Polytechnic,http://ddpambassa.ac.in/,
142,"Dhruva College Of Management, Hyderabad",http://www.dhruva.ac.in/,
143,"Diamond Pvt ITI, Bhoranj",http://www.diamonditi.com/,
144,"Dibrugarh University Department of Pharmaceutical Sciences, Dibrugarh",https://dibru.ac.in/,
145,"Directorate Of Archives And Archaeology, Government of Goa, Panaji",http://daa.goa.gov.in/,
146,"Disha College Of Management And Technology, Berhampur",http://dishacollege.in/,
147,"DL Reddy College, Gollalamamidala",http://www.dlrcollege.org/,
148,"DN Jain College, Jabalpur",https://www.dnjaincollege.org/,
149,"DNR College of Education, Bhimavaram",https://dnrcollege.org/en/,
150,"DNR College of Law, Bhimavaram",http://www.dnrlawcollege.in/,
151,"DNR College, Bhimavaram",http://www.dnrcollege.org/,
152,"Dnyanprassarak Mandals College And Research Centre, Mapusa",http://dmscollege.ac.in/,
153,"DOEACC, Aizawl",null,
154,"Don Bosco College Of Engineering, Margao",http://www.dbcegoa.ac.in/,
155,"Don Bosco College Of Teacher Education, Tura",http://dbctetura.in/,
156,"Don Bosco College, Itanagar",https://dbcitanagar.com/,
157,"Doon Ghati College of Professional Education, Dehradun",https://doonghaticollege.com/index.php,
158,"Dr B R Ambedkar Government Law College, Puducherry",https://aglc1972.edu.in/,
159,"Dr B R Ambedkar Govt P G Boys College, Sriganganagar",https://hte.rajasthan.gov.in/college/gcganganagar,
160,"Dr B R Ambedkar Institute of Technology (DBRAIT), Port Blair",http://dbragpt.and.nic.in/,
161,"Dr B R Ambedkar Polytechnic College, Yanam",http://drbraptcynm.edu.in/,
162,"Dr Bhim Rao Ambedkar College, New Delhi",https://www.drbrambedkarcollege.ac.in/,
163,"Dr BR Ambedkar College Of Law, Visakhapatnam",https://www.drbrambedkarcollegeoflaw.com/,
164,"Dr CSN Degree & PG College, Bhimavaram",http://www.drcsninstitutions.org/,
165,"Dr H L Thimmegowda College of Pharmacy, Bangalore",http://www.hltcollegeofpharmacy.org/,
166,"Dr KV Subba Reddy College of Engineering for Women (KVSW), Kurnool",http://drkvsrcew.in/,
167,Dr Lankapalli Bullayya Graduate College,https://bullayyacollege.org/,
168,"Dr LB College, Visakhapatnam",https://www.bullayyacollege.org/pg-college/index.php,
169,"Dr MC Saxena College Of Medical Sciences, Lucknow",http://www.mcscms.in/,
170,"Dr MC Saxena College Of Pharmacy MCSGOC, Lucknow",https://www.mcsgoc.com/dr-mc-saxena-college-of-pharmacy.php,
171,"DR MGR Engineering College, Chennai",https://www.drmgrdu.ac.in/,
172,"Dr N R S Govt Ayurvedic College, Vijayawada",http://www.panchakarma.com/dr-n-r-shastry-government-ayurvedic-college-vijayawada-andhra-pradesh-p-183.html,
173,Dr Paul Raj Engineering College,http://www.dprec.ac.in/,
174,"Dr Samuel George Institute of Pharmaceutical Sciences, Prakasam",http://www.drsgips.ac.in/,
175,"Dr Shankar Dayal Sharma Smriti Mahavidyalaya, Bhopal",http://drsdscollegebhopal.com/,
176,"Dr. Ambedkar College, Nagpur",http://dacn.in/,
177,"Dr. R.B. Singh Gaya Homoeopathy Medical Colege & Hospital, Bodh Gaya",http://drrbsinghghmchgaya.org/,
178,"Durama College, Tura",https://duramacollege.in/,
179,"Durgabai Deshmukh College of Special Education, New Delhi",https://www.durgabaideshmukhcollege.org/index.html,
180,"Eastern Dooars BEd Training College, Alipurduar",http://edbdtc.org.in/,
181,"Eastern Institute For Integrated Learning In Management EIILM, Namchi",https://www.eiilm.co.in/,
182,"Einstein Academy Of Technology & Management EATM, Bhubaneswar",https://eatm.in/,
183,"Eliezer Joldan Memorial College (EJMC), Leh",http://www.ejmcollegeleh.in/,
184,"Ettumanoorappan College, Kottayam",https://ettumanoorappancollege.edu.in/,
185,"Everest Pvt ITI, Nirmand",https://everestiti.com/,
186,"Everest Pvt ITI, Rampur Bushahr",https://everestiti.in/,
187,"Faculty Of Agriculture, Govind Ballabh Pant University Of Agriculture & Technology, Pantnagar",http://www.gbpuat.ac.in/,
188,"Faculty Of Anthropology, Andhra University, Visakhapatnam",https://andhrauniversity.edu.in/,
189,"Faculty Of Anthropology, Sri Venkateswara University, Tirupati",https://www.svuniversity.edu.in/about,
190,"Faculty Of Archaeology, Andhra University, Visakhapatnam",https://andhrauniversity.edu.in/,
191,"Faculty of Nursing, Jamia Hamdard, New Delhi",http://jamiahamdard.edu/,
